Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,16,5,1,0,9,2,7
US Monastir,2,11,3,2,1,10,4,6
CS Sfaxien,3,7,2,1,3,2,3,-1
CA Bizertin,4,6,1,3,2,4,6,-2
US Tataouine,5,3,1,0,5,1,11,-10
Avenir Sportif De La Marsa,6,3,1,0,5,3,11,-8
ES Métlaoui,7,2,0,2,4,7,13,-6
