Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,16,5,1,0,11,3,8
US Monastir,2,15,5,0,1,12,5,7
CS Sfaxien,3,13,4,1,1,10,1,9
CA Bizertin,4,10,3,1,2,8,7,1
ES Métlaoui,5,7,2,1,3,3,7,-4
US Tataouine,6,6,1,3,2,5,6,-1
Avenir Sportif De La Marsa,7,2,0,2,4,1,7,-6
