Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,32,10,2,0,20,5,15
US Monastir,2,26,8,2,2,22,9,13
CS Sfaxien,3,20,6,2,4,12,4,8
CA Bizertin,4,16,4,4,4,12,13,-1
ES Métlaoui,5,9,2,3,7,10,20,-10
US Tataouine,6,9,2,3,7,6,17,-11
Avenir Sportif De La Marsa,7,5,1,2,9,4,18,-14
