Team,TeamID,GoalsForHome,GoalsAgainstHome,GoalsForAway,GoalsAgainstAway,WinsHome,DrawsHome,LossesHome,WinsAway,DrawsAway,LossesAway,GoalsFor,GoalsAgainst,GoalsDifference,Wins,Draws,Losses,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Rank,last_5_winners,Rating
Osasuna,1,24,21,13,21,11,1,7,4,7,8,37,42,-5,15,8,15,53,1.39,39.8,45.7,-5.9,-0.15,7,0,6.78
Celta,2,26,21,17,32,7,6,6,4,4,11,43,53,-10,11,10,17,43,1.13,42.6,45.4,-2.8,-0.07,13,0,6.79
Valladolid,3,21,25,12,38,8,4,7,3,3,13,33,63,-30,11,7,20,40,1.05,38.5,65.2,-26.6,-0.7,18,0,6.76
Barcelona,4,37,4,33,16,15,3,1,13,1,5,70,20,50,28,4,6,88,2.32,75.5,33.2,42.3,1.11,1,2,7.04
Cadiz,5,19,23,11,30,7,6,6,3,6,10,30,53,-23,10,12,16,42,1.11,41.5,61.6,-20.1,-0.53,14,0,6.73
Valencia,6,27,19,15,26,8,5,6,3,4,12,42,45,-3,11,9,18,42,1.11,49.3,43.5,5.8,0.15,16,0,6.78
Almeria,7,29,22,20,43,10,3,6,1,5,13,49,65,-16,11,8,19,41,1.08,45.5,62.5,-17.0,-0.45,17,0,6.74
Ath Bilbao,8,22,15,25,28,8,3,8,6,6,7,47,43,4,14,9,15,51,1.34,54.2,36.9,17.3,0.46,8,0,6.81
Getafe,9,21,20,13,25,7,6,6,3,6,10,34,45,-11,10,12,16,42,1.11,36.7,46.0,-9.4,-0.25,15,0,6.74
Betis,10,26,18,20,23,9,5,5,8,4,7,46,41,5,17,9,12,60,1.58,51.3,50.0,1.3,0.03,6,0,6.82
Espanol,11,27,35,25,34,4,7,8,4,6,9,52,69,-17,8,13,17,37,0.97,48.3,59.8,-11.5,-0.3,19,0,6.75
Sevilla,12,24,25,23,29,7,5,7,6,5,8,47,54,-7,13,10,15,49,1.29,46.3,54.2,-7.9,-0.21,12,0,6.78
Mallorca,13,22,12,15,31,10,5,4,4,3,12,37,43,-6,14,8,16,50,1.32,35.2,46.4,-11.2,-0.3,9,0,6.77
Ath Madrid,14,41,15,29,18,13,3,3,10,5,4,70,33,37,23,8,7,77,2.03,61.9,41.1,20.8,0.55,3,1,6.94
Sociedad,15,26,16,25,19,11,5,3,10,3,6,51,35,16,21,8,9,71,1.87,52.9,33.0,19.8,0.52,4,0,6.83
Elche,16,18,29,12,38,3,6,10,2,4,13,30,67,-37,5,10,23,25,0.66,37.5,70.0,-32.6,-0.86,20,0,6.69
Girona,17,35,26,23,29,10,3,6,3,7,9,58,55,3,13,10,15,49,1.29,50.6,54.9,-4.3,-0.11,10,0,6.78
Vallecano,18,28,22,17,31,9,5,5,4,5,10,45,53,-8,13,10,15,49,1.29,43.9,50.3,-6.4,-0.17,11,0,6.74
Real Madrid,19,44,16,31,20,13,5,1,11,1,7,75,36,39,24,6,8,78,2.05,75.5,38.9,36.6,0.96,2,2,7.03
Villarreal,20,36,18,23,22,12,3,4,7,4,8,59,40,19,19,7,12,64,1.68,61.6,49.9,11.8,0.31,5,0,6.89
