Team,TeamID,GoalsForHome,GoalsAgainstHome,GoalsForAway,GoalsAgainstAway,WinsHome,DrawsHome,LossesHome,WinsAway,DrawsAway,LossesAway,GoalsFor,GoalsAgainst,GoalsDifference,Wins,Draws,Losses,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Rank,Rating
Valencia,1,26,24,22,29,6,8,5,5,7,7,48,53,-5,11,15,12,48,1.26,39.0,47.7,-8.7,-0.23,9,6.75
Cadiz,2,19,24,16,27,3,9,7,5,6,8,35,51,-16,8,15,15,39,1.03,39.5,48.3,-8.7,-0.23,17,6.77
Mallorca,3,20,25,16,38,7,6,6,3,3,13,36,63,-27,10,9,19,39,1.03,38.8,49.3,-10.5,-0.28,16,6.72
Alaves,4,17,21,14,44,7,4,8,1,3,15,31,65,-34,8,7,23,31,0.82,37.3,57.0,-19.7,-0.52,20,6.7
Osasuna,5,17,26,20,25,5,7,7,7,4,8,37,51,-14,12,11,15,47,1.24,36.7,46.3,-9.6,-0.25,10,6.78
Celta,6,26,23,17,20,7,4,8,5,6,8,43,43,0,12,10,16,46,1.21,43.1,45.7,-2.6,-0.07,11,6.84
Barcelona,7,37,19,31,19,12,2,5,9,8,2,68,38,30,21,10,7,73,1.92,63.4,34.4,29.0,0.76,2,6.99
Sevilla,8,36,17,17,13,12,6,1,6,10,3,53,30,23,18,16,4,70,1.84,42.4,36.9,5.4,0.14,4,6.89
Villarreal,9,40,18,23,19,10,6,3,6,5,8,63,37,26,16,11,11,59,1.55,64.2,44.8,19.4,0.51,7,6.92
Elche,10,24,21,16,31,7,6,6,4,3,12,40,52,-12,11,9,18,42,1.11,33.7,59.1,-25.4,-0.67,13,6.76
Betis,11,34,22,28,18,10,2,7,9,6,4,62,40,22,19,8,11,65,1.71,53.5,43.4,10.1,0.27,5,6.9
Espanol,12,25,19,15,34,9,6,4,1,6,12,40,53,-13,10,12,16,42,1.11,36.7,51.2,-14.5,-0.38,14,6.76
Granada,13,22,29,22,32,5,7,7,3,7,9,44,61,-17,8,14,16,38,1.0,39.0,61.2,-22.2,-0.59,18,6.74
Ath Bilbao,14,29,18,14,18,10,4,5,4,9,6,43,36,7,14,13,11,55,1.45,49.6,38.4,11.3,0.3,8,6.82
Sociedad,15,16,9,24,28,10,5,4,7,6,6,40,37,3,17,11,10,62,1.63,51.5,38.7,12.8,0.34,6,6.83
Ath Madrid,16,33,16,32,27,12,5,2,9,3,7,65,43,22,21,8,9,71,1.87,54.4,33.4,21.1,0.56,3,6.89
Levante,17,28,30,23,46,5,7,7,3,4,12,51,76,-25,8,11,19,35,0.92,55.1,55.0,0.1,0.0,19,6.69
Getafe,18,21,15,12,26,7,7,5,1,8,10,33,41,-8,8,15,15,39,1.03,29.3,38.6,-9.3,-0.25,15,6.78
Vallecano,19,26,22,13,28,8,5,6,3,4,12,39,50,-11,11,9,18,42,1.11,42.8,48.4,-5.6,-0.15,12,6.78
Real Madrid,20,44,13,36,18,13,5,1,13,3,3,80,31,49,26,8,4,86,2.26,71.7,43.9,27.8,0.73,1,7.1
