Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,15,5,0,0,9,3,6
US Monastir,2,13,4,1,0,7,2,5
CS Sfaxien,3,9,2,3,0,7,3,4
Club Africain,4,8,2,2,1,4,3,1
Etoile Sportive Du Sahel,5,6,1,3,1,7,6,1
US Ben Guerdane,6,0,0,0,5,1,12,-11
