Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,24,6,3,1,16,8,8
US Monastir,2,22,6,2,2,16,9,7
CS Sfaxien,3,16,3,5,2,10,7,3
Club Africain,4,15,3,3,4,6,10,-4
Etoile Sportive Du Sahel,5,13,3,3,4,13,11,2
US Ben Guerdane,6,3,0,2,8,3,19,-16
