Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
US Monastir,1,7,2,1,2,9,7,2
Espérance Tunis,2,6,1,3,1,7,5,2
Etoile Sportive Du Sahel,3,6,2,0,3,6,5,1
CS Sfaxien,4,5,1,2,2,3,4,-1
Club Africain,5,4,1,1,3,2,7,-5
US Ben Guerdane,6,2,0,2,3,2,7,-5
