Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
US Ben Guerdane,1,17,5,2,0,9,3,6
US Monastir,2,15,5,0,2,8,2,6
ES Métlaoui,3,14,4,2,1,8,5,3
AS Soliman,4,13,4,1,2,5,4,1
Olympique Béja,5,12,3,3,1,12,9,3
Club Africain,6,12,4,0,3,9,6,3
AS Rejiche,7,6,1,3,3,3,8,-5
EO Sidi Bouzid,8,5,1,2,4,6,10,-4
