Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
US Monastir,1,14,4,2,1,9,3,6
Club Africain,2,12,3,3,1,7,7,0
Olympique Béja,3,12,4,0,3,9,5,4
US Ben Guerdane,4,10,3,1,3,5,5,0
ES Métlaoui,5,5,1,2,4,6,12,-6
AS Soliman,6,4,0,4,3,6,10,-4
EO Sidi Bouzid,7,4,1,1,5,3,9,-6
AS Rejiche,8,0,0,0,7,2,9,-7
