Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
US Monastir,1,29,9,2,3,17,5,12
US Ben Guerdane,2,27,8,3,3,14,8,6
Olympique Béja,3,24,7,3,4,21,14,7
Club Africain,4,24,7,3,4,16,13,3
ES Métlaoui,5,19,5,4,5,14,17,-3
AS Soliman,6,17,4,5,5,11,14,-3
EO Sidi Bouzid,7,9,2,3,9,9,19,-10
AS Rejiche,8,6,1,3,10,5,17,-12
