Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference,HomeWins,HomeDraws,HomeLosses,HomeGoalsFor,HomeGoalsAgainst,HomeGoalsDifference,AwayWins,AwayDraws,AwayLosses,AwayGoalsFor,AwayGoalsAgainst,AwayGoalsDifference,MP,PtsPerGame,GapToFirst
Etoile Sportive Du Sahel,1,34,9,4,1,19,3,16,6,1,0,15,1,14,3,3,1,4,2,2,14,2.4285714285714284,0
Espérance Tunis,2,28,7,3,4,20,10,10,5,2,0,10,1,9,2,4,1,6,5,1,14,2.0,-6
Club Africain,3,27,7,5,2,17,9,8,5,1,1,11,4,7,2,3,2,12,8,4,14,1.9285714285714286,-7
US Monastir,3,26,6,4,4,23,14,9,4,2,1,14,5,9,2,1,4,10,9,1,14,1.8571428571428572,-8
US Ben Guerdane,5,21,5,3,6,18,16,2,3,4,0,7,1,6,1,1,5,5,9,-4,14,1.5,-13
CS Sfaxien,6,18,4,5,5,12,10,2,4,1,2,11,6,5,1,1,5,4,11,-7,14,1.2857142857142858,-16
Olympique Béja,7,16,4,2,8,9,20,-11,3,1,3,7,6,1,1,1,5,2,14,-12,14,1.1428571428571428,-18
US Tataouine,8,4,0,2,12,6,42,-36,0,2,5,5,20,-15,0,0,7,1,22,-21,14,0.2857142857142857,-30
