Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference,HomeWins,HomeDraws,HomeLosses,HomeGoalsFor,HomeGoalsAgainst,HomeGoalsDifference,AwayWins,AwayDraws,AwayLosses,AwayGoalsFor,AwayGoalsAgainst,AwayGoalsDifference
Espérance Tunis,1,62,18,8,0,41,12,29,10,3,0,28,9,19,8,5,0,13,3,10
CS Sfaxien,2,51,15,6,5,33,19,14,10,1,2,15,6,9,6,4,3,19,11,8
US Monastir,3,45,12,9,5,36,19,17,8,3,2,17,6,11,5,5,3,18,13,5
Etoile Sportive Du Sahel,4,43,12,7,7,37,25,12,7,5,1,21,7,14,5,4,4,11,8,3
Club Africain,5,40,13,7,6,28,14,14,6,5,2,17,8,9,5,3,5,11,14,-3
Stade Tunisien,6,36,10,6,10,26,27,-1,6,5,2,11,7,4,5,2,6,16,18,-2
US Ben Guerdane,7,34,8,10,8,26,31,-5,7,1,5,19,12,7,4,1,8,15,20,-5
CS Chebba,8,30,7,9,10,33,33,0,6,3,4,15,12,3,2,5,6,10,17,-7
AS Soliman,9,28,8,4,14,29,32,-3,5,4,4,23,16,7,1,7,5,9,15,-6
US Tataouine,10,28,6,10,10,21,28,-7,5,3,5,12,13,-1,3,0,10,7,27,-20
ES Métlaoui,11,25,6,7,13,23,34,-11,3,7,3,15,17,-2,1,4,8,4,18,-14
CA Bizertin,12,23,5,8,13,18,35,-17,4,4,5,14,17,-3,1,4,8,8,25,-17
Hammam-Lif,13,22,5,7,14,20,40,-20,4,3,6,12,15,-3,1,3,9,10,20,-10
JS Kairouanaise,14,22,6,4,16,19,41,-22,3,4,6,12,14,-2,0,4,9,8,22,-14
