Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference,HomeWins,HomeDraws,HomeLosses,HomeGoalsFor,HomeGoalsAgainst,HomeGoalsDifference,AwayWins,AwayDraws,AwayLosses,AwayGoalsFor,AwayGoalsAgainst,AwayGoalsDifference,MP,PtsPerGame,GapToFirst
Espérance Tunis,1,24,6,3,1,16,8,8,5,0,0,9,3,6,2,1,2,9,7,2,10,2.4,0
US Monastir,2,22,6,2,2,16,9,7,4,1,0,7,2,5,1,3,1,7,5,2,10,2.2,-2
CS Sfaxien,3,16,3,5,2,10,7,3,2,3,0,7,3,4,2,0,3,6,5,1,10,1.6,-8
Club Africain,4,15,3,3,4,6,10,-4,2,2,1,4,3,1,1,2,2,3,4,-1,10,1.5,-9
Etoile Sportive Du Sahel,5,13,3,3,4,13,11,2,1,3,1,7,6,1,1,1,3,2,7,-5,10,1.3,-11
US Ben Guerdane,6,3,0,2,8,3,19,-16,0,0,5,1,12,-11,0,2,3,2,7,-5,10,0.3,-21
