Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference,HomeWins,HomeDraws,HomeLosses,HomeGoalsFor,HomeGoalsAgainst,HomeGoalsDifference,AwayWins,AwayDraws,AwayLosses,AwayGoalsFor,AwayGoalsAgainst,AwayGoalsDifference,MP,PtsPerGame,GapToFirst
Espérance Tunis,1,24,6,3,1,13,7,6,4,1,0,9,3,6,2,2,1,6,4,2,10,2.4,0
US Monastir,2,16,3,5,2,8,5,3,2,3,0,7,2,5,2,2,1,4,4,0,10,1.6,-8
CS Sfaxien,3,13,2,6,2,6,5,1,1,4,0,4,2,2,1,2,2,1,3,-2,10,1.3,-11
Stade Tunisien,4,13,1,8,1,5,5,0,1,2,2,3,5,-2,0,4,1,3,4,-1,10,1.3,-11
Etoile Sportive Du Sahel,5,10,0,7,3,4,7,-3,0,4,1,0,1,-1,0,4,1,1,3,-2,10,1.0,-14
Club Africain,6,9,1,5,4,4,11,-7,0,3,2,1,3,-2,0,3,2,1,6,-5,10,0.9,-15
