Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference,HomeWins,HomeDraws,HomeLosses,HomeGoalsFor,HomeGoalsAgainst,HomeGoalsDifference,AwayWins,AwayDraws,AwayLosses,AwayGoalsFor,AwayGoalsAgainst,AwayGoalsDifference
Espérance Tunis,1,60,19,3,4,37,16,21,10,2,1,18,6,12,9,1,3,19,10,9
Etoile Sportive Du Sahel,2,50,15,5,6,46,26,20,9,3,1,29,10,19,6,2,5,17,16,1
US Ben Guerdane,3,41,10,11,5,25,16,9,8,3,2,15,6,9,3,7,3,11,8,3
CS Sfaxien,4,40,10,10,6,29,16,13,8,3,2,19,12,7,4,3,6,12,19,-7
AS Soliman,5,40,11,7,8,35,34,1,7,3,3,18,8,10,2,8,3,10,10,0
AS Rejiche,6,36,9,9,8,27,23,4,6,4,3,15,9,6,3,5,5,12,14,-2
Club Africain,7,33,7,12,7,26,30,-4,6,3,4,11,10,1,3,5,5,11,13,-2
US Tataouine,8,33,8,9,9,24,30,-6,5,5,3,17,10,7,3,5,5,9,15,-6
ES Métlaoui,9,32,8,8,10,17,21,-4,5,5,3,13,11,2,3,4,6,16,22,-6
US Monastir,10,31,8,7,11,28,29,-1,4,7,2,17,15,2,2,5,6,11,14,-3
Olympique Béja,11,31,7,10,9,25,26,-1,4,6,3,11,8,3,2,5,6,6,11,-5
CA Bizertin,12,31,8,7,11,21,27,-6,4,6,3,12,11,1,3,2,8,11,19,-8
Stade Tunisien,13,29,6,11,9,22,22,0,4,5,4,14,13,1,3,2,8,8,16,-8
JS Kairouanaise,14,3,0,3,23,14,60,-46,0,1,12,7,31,-24,0,2,11,7,29,-22
