Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
ES Hammam-Sousse,1,2,0,2,1,2,3,-1
Olympique Béja,2,1,0,1,2,0,2,-2
ES Métlaoui,3,1,0,1,2,2,5,-3
ES Zarzis,4,1,0,1,2,1,5,-4
