Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Olympique Béja,1,9,2,2,2,5,2,3
ES Hammam-Sousse,2,9,2,3,1,6,5,1
ES Métlaoui,3,9,2,2,2,5,6,-1
ES Zarzis,4,6,1,3,2,4,7,-3
