Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Olympique Béja,1,7,2,1,0,5,0,5
ES Hammam-Sousse,2,7,2,1,0,4,2,2
ES Métlaoui,3,7,2,1,0,3,1,2
ES Zarzis,4,5,1,2,0,3,2,1
