Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Etoile Sportive Du Sahel,1,25,7,4,1,15,5,10
Stade Tunisien,2,24,7,3,2,18,10,8
Club Africain,3,24,7,3,2,14,7,7
US Ben Guerdane,4,15,4,3,5,13,11,2
Olympique Béja,5,14,4,2,6,8,14,-6
EGS Gafsa,6,12,3,3,6,9,18,-9
AS Soliman,7,3,1,0,11,7,19,-12
