Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Stade Tunisien,1,13,4,1,1,10,5,5
Etoile Sportive Du Sahel,2,12,3,3,0,7,2,5
Club Africain,3,11,3,2,1,7,3,4
Olympique Béja,4,10,3,1,2,6,5,1
US Ben Guerdane,5,10,3,1,2,9,4,5
EGS Gafsa,6,7,2,1,3,4,8,-4
AS Soliman,7,3,1,0,5,5,9,-4
