Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Etoile Sportive Du Sahel,1,13,4,1,1,8,3,5
Club Africain,2,13,4,1,1,7,4,3
Stade Tunisien,3,11,3,2,1,8,5,3
US Ben Guerdane,4,5,1,2,3,4,7,-3
EGS Gafsa,5,5,1,2,3,5,10,-5
Olympique Béja,6,4,1,1,4,2,9,-7
AS Soliman,7,0,0,0,6,2,10,-8
