Rk,Squad,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,91,2.39,80.5,35.6,44.9,1.18
2,Arsenal,89,2.34,76.1,27.9,48.2,1.27
3,Liverpool,82,2.16,87.8,45.7,42.0,1.11
4,Aston Villa,68,1.79,63.3,59.9,3.4,0.09
5,Tottenham,66,1.74,68.2,63.4,4.8,0.13
6,Chelsea,63,1.66,74.5,58.1,16.4,0.43
7,Newcastle Utd,60,1.58,76.0,61.4,14.6,0.38
8,Manchester Utd,60,1.58,56.5,68.9,-12.5,-0.33
9,West Ham,52,1.37,52.3,71.1,-18.8,-0.49
10,Crystal Palace,49,1.29,48.6,52.0,-3.4,-0.09
11,Brighton,48,1.26,56.8,55.4,1.4,0.04
12,Bournemouth,48,1.26,55.9,58.1,-2.2,-0.06
13,Fulham,47,1.24,50.8,62.9,-12.1,-0.32
14,Wolves,46,1.21,46.7,67.7,-21.0,-0.55
15,Everton,40,1.05,54.0,55.2,-1.2,-0.03
16,Brentford,39,1.03,58.2,56.0,2.2,0.06
17,Nott'ham Forest,32,0.84,49.9,53.3,-3.4,-0.09
18,Luton Town,26,0.68,42.4,78.0,-35.5,-0.94
19,Burnley,24,0.63,40.6,70.4,-29.7,-0.78
20,Sheffield Utd,16,0.42,38.3,76.6,-38.3,-1.01
