Rk,Squad,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Liverpool,84,2.21,82.2,38.6,43.6,1.15
2,Arsenal,74,1.95,59.9,34.4,25.5,0.67
3,Manchester City,71,1.87,68.1,47.7,20.4,0.54
4,Chelsea,69,1.82,67.8,47.3,20.5,0.54
5,Newcastle Utd,66,1.74,63.8,45.5,18.3,0.48
6,Aston Villa,66,1.74,56.1,50.1,5.9,0.16
7,Nott'ham Forest,65,1.71,45.5,48.9,-3.4,-0.09
8,Brighton,61,1.61,58.7,54.6,4.1,0.11
9,Bournemouth,56,1.47,64.0,48.5,15.5,0.41
10,Brentford,56,1.47,59.0,55.4,3.6,0.09
11,Fulham,54,1.42,49.0,47.2,1.8,0.05
12,Crystal Palace,53,1.39,60.4,49.1,11.3,0.3
13,Everton,48,1.26,41.8,46.2,-4.5,-0.12
14,West Ham,43,1.13,47.0,59.7,-12.7,-0.33
15,Manchester Utd,42,1.11,52.6,53.8,-1.3,-0.03
16,Wolves,42,1.11,43.7,58.1,-14.5,-0.38
17,Tottenham,38,1.0,58.8,63.3,-4.5,-0.12
18,Leicester City,25,0.66,32.6,71.9,-39.3,-1.03
19,Ipswich Town,22,0.58,34.4,72.7,-38.3,-1.01
20,Southampton,12,0.32,32.7,84.8,-52.1,-1.37
