Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Etoile Sportive Du Sahel,1,19,6,1,0,15,1,14
Espérance Tunis,2,17,5,2,0,10,1,9
Club Africain,3,16,5,1,1,11,4,7
US Ben Guerdane,4,14,4,2,1,14,5,9
CS Sfaxien,5,13,3,4,0,7,1,6
US Monastir,6,13,4,1,2,11,6,5
Olympique Béja,7,10,3,1,3,7,6,1
US Tataouine,8,2,0,2,5,5,20,-15
