Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Etoile Sportive Du Sahel,1,34,9,4,1,19,3,16
Espérance Tunis,2,28,7,3,4,20,10,10
Club Africain,3,27,7,5,2,17,9,8
US Monastir,3,26,6,4,4,23,14,9
US Ben Guerdane,5,21,5,3,6,18,16,2
CS Sfaxien,6,18,4,5,5,12,10,2
Olympique Béja,7,16,4,2,8,9,20,-11
US Tataouine,8,4,0,2,12,6,42,-36
