Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Etoile Sportive Du Sahel,1,12,3,3,1,4,2,2
Club Africain,2,10,2,4,1,6,5,1
US Monastir,3,9,2,3,2,12,8,4
Espérance Tunis,4,7,2,1,4,10,9,1
CS Sfaxien,5,4,1,1,5,5,9,-4
US Ben Guerdane,6,4,1,1,5,4,11,-7
Olympique Béja,7,4,1,1,5,2,14,-12
US Tataouine,8,0,0,0,7,1,22,-21
