Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Stade Tunisien,1,10,3,1,1,6,3,3
CA Bizertin,2,8,2,2,1,8,3,5
ES Hammam-Sousse,3,7,2,1,2,7,5,2
ES Métlaoui,4,7,2,1,2,5,6,-1
EO Sidi Bouzid,5,6,1,3,1,7,4,3
AS Soliman,6,6,2,0,3,4,6,-2
