Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
CA Bizertin,1,9,3,0,2,4,2,2
Stade Tunisien,2,8,2,2,1,7,4,3
AS Soliman,3,8,2,2,1,4,6,-2
EO Sidi Bouzid,4,6,2,0,3,5,8,-3
ES Hammam-Sousse,5,4,1,1,3,5,10,-5
ES Métlaoui,6,3,0,3,2,2,7,-5
