Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Stade Tunisien,1,22,5,3,2,13,7,6
CA Bizertin,2,19,5,2,3,12,5,7
AS Soliman,3,16,4,2,4,8,12,-4
ES Métlaoui,4,14,2,4,4,7,13,-6
EO Sidi Bouzid,5,12,3,3,4,12,12,0
ES Hammam-Sousse,6,11,3,2,5,12,15,-3
