Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,32,10,2,1,18,6,12
Etoile Sportive Du Sahel,2,30,9,3,1,29,10,19
US Ben Guerdane,3,27,8,3,2,15,6,9
AS Soliman,4,27,8,3,2,19,12,7
CS Sfaxien,5,24,7,3,3,18,8,10
AS Rejiche,6,22,6,4,3,15,9,6
ES Métlaoui,7,21,6,3,4,11,10,1
US Monastir,8,20,5,5,3,17,10,7
CA Bizertin,9,20,5,5,3,13,11,2
Club Africain,10,19,4,7,2,17,15,2
Stade Tunisien,11,18,4,6,3,11,8,3
US Tataouine,12,18,4,6,3,12,11,1
Olympique Béja,13,17,4,5,4,14,13,1
JS Kairouanaise,14,1,0,1,12,7,31,-24
