Rk,Squad,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Real Madrid,86,2.26,71.7,43.9,27.8,0.73
2,Barcelona,73,1.92,63.4,34.4,29.0,0.76
3,Atlético Madrid,71,1.87,54.4,33.4,21.1,0.56
4,Sevilla,70,1.84,42.4,36.9,5.4,0.14
5,Betis,65,1.71,53.5,43.4,10.1,0.27
6,Real Sociedad,62,1.63,51.5,38.7,12.8,0.34
7,Villarreal,59,1.55,64.2,44.8,19.4,0.51
8,Athletic Club,55,1.45,49.6,38.4,11.3,0.3
9,Valencia,48,1.26,39.0,47.7,-8.7,-0.23
10,Osasuna,47,1.24,36.7,46.3,-9.6,-0.25
11,Celta Vigo,46,1.21,43.1,45.7,-2.6,-0.07
12,Rayo Vallecano,42,1.11,42.8,48.4,-5.6,-0.15
13,Elche,42,1.11,33.7,59.1,-25.4,-0.67
14,Espanyol,42,1.11,36.7,51.2,-14.5,-0.38
15,Getafe,39,1.03,29.3,38.6,-9.3,-0.25
16,Mallorca,39,1.03,38.8,49.3,-10.5,-0.28
17,Cádiz,39,1.03,39.5,48.3,-8.7,-0.23
18,Granada,38,1.0,39.0,61.2,-22.2,-0.59
19,Levante,35,0.92,55.1,55.0,0.1,0.0
20,Alavés,31,0.82,37.3,57.0,-19.7,-0.52
