Rk,Squad,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Real Madrid,95,2.5,68.8,35.4,33.4,0.88
2,Barcelona,85,2.24,77.6,41.6,35.9,0.94
3,Girona,81,2.13,70.8,54.3,16.5,0.43
4,Atlético Madrid,76,2.0,62.4,39.5,23.0,0.6
5,Athletic Club,68,1.79,52.7,41.3,11.4,0.3
6,Real Sociedad,60,1.58,44.9,41.3,3.6,0.1
7,Betis,57,1.5,43.9,50.2,-6.3,-0.17
8,Villarreal,53,1.39,55.6,58.7,-3.2,-0.08
9,Valencia,49,1.29,43.1,47.6,-4.5,-0.12
10,Alavés,46,1.21,46.2,44.7,1.5,0.04
11,Osasuna,45,1.18,40.5,49.9,-9.4,-0.25
12,Getafe,43,1.13,45.7,53.8,-8.1,-0.21
13,Celta Vigo,41,1.08,50.7,54.6,-3.8,-0.1
14,Sevilla,41,1.08,44.9,55.9,-11.0,-0.29
15,Mallorca,40,1.05,40.5,42.9,-2.5,-0.06
16,Las Palmas,40,1.05,33.2,56.6,-23.5,-0.62
17,Rayo Vallecano,38,1.0,42.3,44.6,-2.3,-0.06
18,Cádiz,33,0.87,36.0,52.3,-16.3,-0.43
19,Almería,21,0.55,48.7,61.6,-12.9,-0.34
20,Granada,21,0.55,42.6,64.2,-21.6,-0.57
