Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Club Africain,1,25,7,4,3,11,6,5
US Monastir,2,23,6,5,3,8,5,3
Etoile Sportive Du Sahel,3,22,5,7,2,14,8,6
AS Rejiche,4,20,5,5,4,10,10,0
AS Soliman,5,17,4,5,5,7,9,-2
Olympique Béja,6,16,4,4,6,9,10,-1
ES Zarzis,7,13,3,4,7,6,13,-7
CS Chebba,8,13,3,4,7,6,10,-4
