Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Club Africain,1,17,5,2,0,8,2,6
US Monastir,2,16,5,1,2,7,3,4
AS Soliman,3,14,4,2,1,5,2,3
Etoile Sportive Du Sahel,4,13,3,4,0,8,4,4
CS Chebba,5,10,2,4,1,4,2,2
AS Rejiche,6,8,2,2,3,4,6,-2
Olympique Béja,7,8,2,2,3,3,4,-1
ES Zarzis,8,5,1,2,3,2,7,-5
