Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
AS Rejiche,1,12,3,3,1,6,4,2
Etoile Sportive Du Sahel,2,9,2,3,2,6,4,2
Olympique Béja,3,8,2,2,3,6,6,0
Club Africain,4,8,2,2,3,3,4,-1
ES Zarzis,5,8,2,2,4,4,6,-2
US Monastir,6,7,1,4,1,1,2,-1
AS Soliman,7,3,0,3,4,2,7,-5
CS Chebba,8,3,1,0,6,2,8,-6
