Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,29,8,5,0,13,3,10
US Monastir,2,22,6,4,3,19,11,8
CS Sfaxien,3,20,5,5,3,18,13,5
Club Africain,4,19,5,4,4,11,8,3
US Ben Guerdane,5,18,5,3,5,11,14,-3
Etoile Sportive Du Sahel,6,17,5,2,6,16,18,-2
Stade Tunisien,7,13,4,1,8,15,20,-5
CS Chebba,8,11,2,5,6,10,17,-7
US Tataouine,9,10,1,7,5,9,15,-6
JS Kairouanaise,10,9,3,0,10,7,27,-20
CA Bizertin,11,7,1,4,8,4,18,-14
Hammam-Lif,12,7,1,4,8,8,25,-17
AS Soliman,13,6,1,3,9,10,20,-10
ES Métlaoui,14,4,0,4,9,8,22,-14
