Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Olympique Béja,1,10,3,1,3,8,7,1
AS Soliman,2,6,2,0,5,3,8,-5
US Tataouine,3,5,1,2,4,5,12,-7
CA Bizertin,4,4,0,4,3,5,8,-3
US Ben Guerdane,5,4,1,1,5,5,11,-6
EGS Gafsa,6,3,0,3,4,3,8,-5
Avenir Sportif De La Marsa,7,3,1,0,6,4,12,-8
ES Métlaoui,8,2,0,2,5,3,11,-8
