Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Olympique Béja,1,30,8,3,3,21,9,12
CA Bizertin,2,27,6,5,3,17,10,7
EGS Gafsa,3,21,5,4,5,11,11,0
US Tataouine,4,21,5,4,5,11,16,-5
ES Métlaoui,5,20,4,5,5,15,17,-2
AS Soliman,6,19,6,1,7,13,15,-2
US Ben Guerdane,7,19,4,3,7,12,15,-3
Avenir Sportif De La Marsa,8,16,5,1,8,13,20,-7
