Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
CA Bizertin,1,19,6,1,0,12,2,10
Olympique Béja,2,17,5,2,0,13,2,11
EGS Gafsa,3,16,5,1,1,8,3,5
ES Métlaoui,4,15,4,3,0,12,6,6
US Tataouine,5,14,4,2,1,6,4,2
AS Soliman,6,13,4,1,2,10,7,3
Avenir Sportif De La Marsa,7,13,4,1,2,9,8,1
US Ben Guerdane,8,11,3,2,2,7,4,3
