Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,24,6,3,1,13,7,6
US Monastir,2,16,3,5,2,8,5,3
CS Sfaxien,3,13,2,6,2,6,5,1
Stade Tunisien,4,13,1,8,1,5,5,0
Etoile Sportive Du Sahel,5,10,0,7,3,4,7,-3
Club Africain,6,9,1,5,4,4,11,-7
