Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
CS Sfaxien,1,8,2,2,1,6,4,2
Espérance Tunis,2,8,2,2,1,4,4,0
US Monastir,3,5,1,2,2,1,3,-2
Etoile Sportive Du Sahel,4,4,0,4,1,3,4,-1
Stade Tunisien,5,4,0,4,1,1,3,-2
Club Africain,6,3,0,3,2,1,6,-5
