Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,13,4,1,0,9,3,6
US Monastir,2,9,2,3,0,7,2,5
Stade Tunisien,3,7,1,4,0,4,2,2
Club Africain,4,5,1,2,2,3,5,-2
CS Sfaxien,5,4,0,4,1,0,1,-1
Etoile Sportive Du Sahel,6,3,0,3,2,1,3,-2
