Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
US Ben Guerdane,1,13,3,4,0,6,3,3
Espérance Tunis,2,10,3,1,3,7,7,0
CA Bizertin,3,9,3,0,5,6,13,-7
CS Sfaxien,4,8,2,2,3,4,6,-2
US Tataouine,5,7,2,1,5,5,11,-6
ES Hammam-Sousse,6,4,0,4,4,3,8,-5
Hammam-Lif,7,4,1,1,5,5,12,-7
ES Métlaoui,8,3,0,3,4,2,9,-7
