Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,27,8,3,3,20,7,13
CS Sfaxien,2,21,6,3,5,12,10,2
US Ben Guerdane,3,21,5,6,3,10,8,2
US Tataouine,4,21,6,3,6,14,17,-3
CA Bizertin,5,19,6,1,8,13,18,-5
ES Métlaoui,6,17,4,5,5,11,15,-4
ES Hammam-Sousse,7,16,3,7,6,11,18,-7
Hammam-Lif,8,10,2,4,8,9,18,-9
