Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,17,5,2,0,13,0,13
ES Métlaoui,2,14,4,2,1,9,6,3
US Tataouine,3,14,4,2,1,9,6,3
CS Sfaxien,4,13,4,1,2,8,4,4
ES Hammam-Sousse,5,12,3,3,2,8,10,-2
CA Bizertin,6,10,3,1,3,7,5,2
US Ben Guerdane,7,8,2,2,3,4,5,-1
Hammam-Lif,8,6,1,3,3,4,6,-2
