Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,19,6,1,0,16,2,14
Etoile Sportive Du Sahel,2,13,4,1,2,11,8,3
Stade Tunisien,3,10,3,1,3,7,7,0
US Tataouine,4,10,2,4,1,8,7,1
CS Chebba,5,10,3,1,3,6,4,2
ES Hammam-Sousse,6,9,2,3,2,5,8,-3
CS Sfaxien,7,9,2,3,2,5,4,1
CA Bizertin,8,6,1,3,3,7,8,-1
