Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Etoile Sportive Du Sahel,1,16,5,1,1,12,3,9
Espérance Tunis,2,12,3,3,1,9,6,3
CA Bizertin,3,10,3,1,3,5,9,-4
US Tataouine,4,8,2,2,3,5,8,-3
CS Sfaxien,5,7,1,4,2,4,6,-2
Stade Tunisien,6,6,1,3,3,7,10,-3
ES Hammam-Sousse,7,5,1,2,4,4,10,-6
CS Chebba,8,1,0,1,6,2,13,-11
