Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,31,9,4,1,25,8,17
Etoile Sportive Du Sahel,2,29,9,2,3,23,11,12
US Tataouine,3,18,4,6,4,13,15,-2
CS Sfaxien,4,16,3,7,4,9,10,-1
Stade Tunisien,5,16,4,4,6,14,17,-3
CA Bizertin,6,16,4,4,6,12,17,-5
ES Hammam-Sousse,7,14,3,5,6,9,18,-9
CS Chebba,8,11,3,2,9,8,17,-9
