Team,TeamID,GoalsForHome,GoalsAgainstHome,GoalsForAway,GoalsAgainstAway,WinsHome,DrawsHome,LossesHome,WinsAway,DrawsAway,LossesAway,GoalsFor,GoalsAgainst,GoalsDifference,Wins,Draws,Losses,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Rank,last_5_winners,Rating
Burnley,1,19,43,22,35,2,4,13,3,5,11,41,78,-37,5,9,24,24,0.63,40.6,70.4,-29.7,-0.78,19,0,
Arsenal,2,48,16,43,13,15,2,2,13,3,3,91,29,62,28,5,5,89,2.34,76.1,27.9,48.2,1.27,2,0,7.15
Bournemouth,3,27,28,27,39,7,6,6,6,3,10,54,67,-13,13,9,16,48,1.26,55.9,58.1,-2.2,-0.06,12,0,6.86
Brighton,4,30,27,25,35,8,6,5,4,6,9,55,62,-7,12,12,14,48,1.26,56.8,55.4,1.4,0.04,11,0,6.94
Everton,5,22,18,18,33,8,4,7,5,5,9,40,51,-11,13,9,16,40,1.05,54.0,55.2,-1.2,-0.03,15,0,6.95
Sheffield United,6,19,57,16,47,2,4,13,1,3,15,35,104,-69,3,7,28,16,0.42,38.3,76.6,-38.3,-1.01,20,0,6.67
Newcastle,7,49,22,36,40,12,4,3,6,2,11,85,62,23,18,6,14,60,1.58,76.0,61.4,14.6,0.38,7,0,7.02
Brentford,8,29,34,27,31,5,7,7,5,2,12,56,65,-9,10,9,19,39,1.03,58.2,56.0,2.2,0.06,16,0,6.89
Chelsea,9,44,26,33,37,11,4,4,7,5,7,77,63,14,18,9,11,63,1.66,74.5,58.1,16.4,0.43,6,0,7.02
Man United,10,31,28,26,30,10,3,6,8,3,8,57,58,-1,18,6,14,60,1.58,56.5,68.9,-12.5,-0.33,8,0,6.98
Nott'm Forest,11,27,30,22,37,5,5,9,4,4,11,49,67,-18,9,9,20,32,0.84,49.9,53.3,-3.4,-0.09,17,0,6.85
Fulham,12,31,24,24,37,9,2,8,4,6,9,55,61,-6,13,8,17,47,1.24,50.8,62.9,-12.1,-0.32,13,0,6.93
Liverpool,13,49,17,37,24,15,3,1,9,7,3,86,41,45,24,10,4,82,2.16,87.8,45.7,42.0,1.11,3,1,7.11
Wolves,14,26,30,24,35,8,3,8,5,4,10,50,65,-15,13,7,18,46,1.21,46.7,67.7,-21.0,-0.55,14,0,6.89
Tottenham,15,38,27,36,34,13,0,6,7,6,6,74,61,13,20,6,12,66,1.74,68.2,63.4,4.8,0.13,5,0,7.04
Man City,16,51,16,45,18,14,5,0,14,2,3,96,34,62,28,7,3,91,2.39,80.5,35.6,44.9,1.18,1,4,7.31
Aston Villa,17,48,28,28,33,12,4,3,8,4,7,76,61,15,20,8,10,68,1.79,63.3,59.9,3.4,0.09,4,0,6.94
West Ham,18,31,28,29,46,7,8,4,7,2,10,60,74,-14,14,10,14,52,1.37,52.3,71.1,-18.8,-0.49,9,0,6.92
Crystal Palace,19,37,26,20,32,8,4,7,5,6,8,57,58,-1,13,10,15,49,1.29,48.6,52.0,-3.4,-0.09,10,0,6.94
Luton,20,28,37,24,48,4,4,11,2,4,13,52,85,-33,6,8,24,26,0.68,42.4,78.0,-35.5,-0.94,18,0,6.82
