Team,TeamID,GoalsForHome,GoalsAgainstHome,GoalsForAway,GoalsAgainstAway,WinsHome,DrawsHome,LossesHome,WinsAway,DrawsAway,LossesAway,GoalsFor,GoalsAgainst,GoalsDifference,Wins,Draws,Losses,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Rank,last_5_winners,Rating
Crystal Palace,1,21,23,19,26,7,7,5,4,5,10,40,49,-9,11,12,15,45,1.18,39.3,48.1,-8.8,-0.23,11,0,6.81
Fulham,2,31,29,24,24,8,5,6,7,2,10,55,53,2,15,7,16,52,1.37,46.2,63.6,-17.4,-0.46,10,0,6.93
Bournemouth,3,20,28,17,43,6,4,9,5,2,12,37,71,-34,11,6,21,39,1.03,38.5,63.8,-25.3,-0.67,15,0,6.72
Leeds,4,26,37,22,41,5,7,7,2,3,14,48,78,-30,7,10,21,31,0.82,47.3,67.1,-19.8,-0.52,19,0,6.69
Newcastle,5,36,14,32,19,11,6,2,8,8,3,68,33,35,19,14,5,71,1.87,71.9,39.5,32.3,0.85,4,0,6.94
Tottenham,6,37,25,33,38,12,1,6,6,5,8,70,63,7,18,6,14,60,1.58,57.0,49.6,7.4,0.2,8,0,6.88
Everton,7,16,27,18,30,6,3,10,2,9,8,34,57,-23,8,12,18,36,0.95,45.2,65.5,-20.4,-0.54,17,0,6.82
Leicester,8,23,27,28,41,5,4,10,4,3,12,51,68,-17,9,7,22,34,0.89,50.5,63.3,-12.8,-0.34,18,0,6.79
Man United,9,36,10,22,33,15,3,1,8,3,8,58,43,15,23,6,9,75,1.97,67.7,50.4,17.3,0.45,3,0,6.93
West Ham,10,26,24,16,31,8,4,7,3,3,13,42,55,-13,11,7,20,40,1.05,49.2,53.0,-3.9,-0.1,14,0,6.82
Aston Villa,11,33,21,18,25,12,2,5,6,5,8,51,46,5,18,7,13,61,1.61,50.3,52.5,-2.2,-0.06,7,0,6.83
Arsenal,12,53,25,35,18,14,3,2,12,3,4,88,43,45,26,6,6,84,2.21,71.6,42.0,29.6,0.78,2,0,6.97
Brighton,13,37,21,35,32,10,4,5,8,4,7,72,53,19,18,8,12,62,1.63,73.3,50.2,23.1,0.61,6,0,6.92
Man City,14,60,17,34,16,17,1,1,11,4,4,94,33,61,28,5,5,89,2.34,78.6,32.1,46.5,1.22,1,4,7.07
Southampton,15,19,37,17,36,2,5,12,4,2,13,36,73,-37,6,7,25,25,0.66,37.8,60.8,-23.0,-0.61,20,0,6.72
Wolves,16,19,20,12,38,9,3,7,2,5,12,31,58,-27,11,8,19,41,1.08,36.8,59.9,-23.0,-0.61,13,0,6.77
Brentford,17,35,18,23,28,10,7,2,5,7,7,58,46,12,15,14,9,59,1.55,56.3,48.8,7.5,0.2,9,0,6.86
Nott'm Forest,18,27,24,11,44,8,6,5,1,5,13,38,68,-30,9,11,18,38,1.0,39.3,64.2,-24.9,-0.66,16,0,6.73
Chelsea,19,20,19,18,28,6,7,6,5,4,10,38,47,-9,11,11,16,44,1.16,49.5,52.5,-3.0,-0.08,12,0,6.87
Liverpool,20,46,17,29,30,13,5,1,6,5,8,75,47,28,19,10,9,67,1.76,71.5,50.8,20.7,0.55,5,1,6.93
